src,ref_id,video_id,brand,count,cooc_count,published_at
title,bfOkPOXABkI,bfOkPOXABkI,돌체앤가바나,1,1,2026-03-24 11:29:25+00
title,bfOkPOXABkI,bfOkPOXABkI,자빈드서울,1,1,2026-03-24 11:29:25+00
title,bGVPxf0R1Vg,bGVPxf0R1Vg,롬앤,1,0,2026-06-14 12:19:31+00
title,BHgcv6Qb7Nc,BHgcv6Qb7Nc,포뷰트,1,1,2026-03-31 11:00:00+00
title,bhjuej0oV7w,bhjuej0oV7w,바이오더마,1,1,2024-09-07 00:22:50+00
title,BjjZzyBtm-I,BjjZzyBtm-I,올리브영,1,0,2021-03-31 12:01:04+00
title,bJz5jXxvXqU,bJz5jXxvXqU,올리브영,1,0,2026-05-30 13:00:02+00
title,bKLsu65XOMc,bKLsu65XOMc,온그리디언츠,1,1,2026-01-15 09:30:36+00
title,bMJtwUt4hCI,bMJtwUt4hCI,레이어랩,1,1,2026-02-23 03:20:00+00
title,bMJtwUt4hCI,bMJtwUt4hCI,올리브영,1,1,2026-02-23 03:20:00+00
title,Bmm0wqp_kzw,Bmm0wqp_kzw,올리브영,1,1,2026-04-17 03:11:32+00
title,boqb2rlG70E,boqb2rlG70E,레이어랩,1,1,2025-01-26 09:00:39+00
title,BsuzLpSxcLA,BsuzLpSxcLA,올리브영,2,0,2025-11-29 02:46:07+00
title,Byww1HkH7gE,Byww1HkH7gE,투에이엔,1,1,2026-01-17 14:30:46+00
title,Byww1HkH7gE,Byww1HkH7gE,에스쁘아,1,1,2026-01-17 14:30:46+00
title,c7Lfgdz14Oc,c7Lfgdz14Oc,나스,1,1,2025-10-13 11:16:11+00
title,C84C77XLGXw,C84C77XLGXw,투쿨포스쿨,1,1,2025-09-10 09:15:10+00
title,cB9Sbi3nfQM,cB9Sbi3nfQM,올리브영,1,1,2025-12-01 12:31:26+00
title,ccWLXDPEN8c,ccWLXDPEN8c,어바웃톤,1,1,2026-06-21 11:04:57+00
title,-CfZpAovImo,-CfZpAovImo,올리브영,1,0,2026-06-03 11:00:20+00
title,clYk8QXc-rQ,clYk8QXc-rQ,바세린,1,0,2026-02-14 05:31:51+00
title,cPnfed7ZYQ8,cPnfed7ZYQ8,클리오,1,1,2025-05-27 10:02:45+00
title,CqHJoL6DcIE,CqHJoL6DcIE,힐링버드,1,0,2026-05-27 10:59:32+00
title,cSuXrxAekBs,cSuXrxAekBs,샤넬,1,1,2026-05-02 01:30:27+00
title,cSuXrxAekBs,cSuXrxAekBs,설화수,1,1,2026-05-02 01:30:27+00
title,cSuXrxAekBs,cSuXrxAekBs,랑콤,1,1,2026-05-02 01:30:27+00
title,CWl9OlFRBEQ,CWl9OlFRBEQ,올리브영,1,1,2026-07-31 09:19:18+00
title,cyoVfUQsp5k,cyoVfUQsp5k,메디힐,1,0,2017-05-24 14:54:38+00
title,CZ8EiGZjsAw,CZ8EiGZjsAw,달바,1,1,2026-06-16 08:54:44+00
title,CZ8EiGZjsAw,CZ8EiGZjsAw,헤라,1,1,2026-06-16 08:54:44+00
title,CZ8EiGZjsAw,CZ8EiGZjsAw,VDL,1,1,2026-06-16 08:54:44+00
title,CZ8EiGZjsAw,CZ8EiGZjsAw,얼터너티브스테레오,1,1,2026-06-16 08:54:44+00
title,CZ8EiGZjsAw,CZ8EiGZjsAw,네이밍,1,1,2026-06-16 08:54:44+00
title,cZfWi5yDyOs,cZfWi5yDyOs,동국제약,1,0,2026-08-11 07:39:16+00
title,d4t3eCJayzE,d4t3eCJayzE,토니모리,1,0,2015-10-07 08:30:05+00
title,dAxyI5qB5s4,dAxyI5qB5s4,에스네이처,1,0,2026-03-31 15:00:00+00
title,DCPrEBynRFo,DCPrEBynRFo,레이어랩,1,0,2026-03-02 11:00:32+00
title,Dg6KE8i4QpI,Dg6KE8i4QpI,에스티로더,1,1,2026-04-09 10:00:20+00
title,Dg6KE8i4QpI,Dg6KE8i4QpI,나스,1,1,2026-04-09 10:00:20+00
title,dhqjWTP3SFw,dhqjWTP3SFw,유이크,1,1,2026-06-21 09:20:50+00
title,DjrLQ6CtxLg,DjrLQ6CtxLg,TS,1,0,2026-08-19 13:27:40+00
title,dkdfN3jwfAE,dkdfN3jwfAE,리더스코스메틱,1,0,2026-08-12 04:50:33+00
title,dKJ3BHBcTyw,dKJ3BHBcTyw,올리브영,1,1,2025-11-15 11:20:30+00
title,dm4rn2up4us,dm4rn2up4us,바이오더마,1,1,2025-09-27 09:00:51+00
title,DnTjfRGD7V0,DnTjfRGD7V0,가히,1,1,2021-10-15 13:08:33+00
title,dNYZ3tQIBxs,dNYZ3tQIBxs,올리브영,1,1,2026-07-01 03:00:11+00
title,DoxHFBMAhLU,DoxHFBMAhLU,하트퍼센트,1,1,2026-03-29 13:23:51+00
title,dPxsqKeAp9k,dPxsqKeAp9k,어바웃톤,1,1,2025-11-02 02:00:10+00
title,drIW1g0tFAs,drIW1g0tFAs,리필드,1,0,2026-08-21 10:39:25+00
title,dTITrtTcli4,dTITrtTcli4,쥬베룩,1,0,2025-12-09 03:18:15+00
title,dUPz0xL2N1A,dUPz0xL2N1A,올리브영,1,1,2026-02-12 10:01:00+00
title,DxJcbH9NMho,DxJcbH9NMho,디올,1,0,2026-03-22 04:00:12+00
title,dXQV448oEXI,dXQV448oEXI,올리브영,1,0,2022-03-15 11:47:13+00
title,DyDNJecRi5M,DyDNJecRi5M,쥬베룩,1,0,2025-06-24 03:01:09+00
title,DyfTWCFYrV4,DyfTWCFYrV4,온그리디언츠,1,1,2026-01-17 03:00:21+00
title,DzHaEwHnsKg,DzHaEwHnsKg,힐링버드,1,0,2026-05-08 12:28:47+00
title,dZhY2wuV4i8,dZhY2wuV4i8,파넬,1,0,2025-11-13 08:25:29+00
title,E1hd4YYWVv8,E1hd4YYWVv8,레이어랩,1,0,2025-09-25 10:35:12+00
title,e1MbeaIX2GE,e1MbeaIX2GE,체이싱래빗,1,1,2026-05-15 10:01:00+00
title,E1pz_Dz7asU,E1pz_Dz7asU,롬앤,1,0,2026-06-13 12:34:12+00
title,E2m5U9tm10c,E2m5U9tm10c,에가,1,1,2025-12-16 11:00:20+00
title,E9cHprruaDA,E9cHprruaDA,올리브영,1,1,2026-04-29 07:24:40+00
title,-EA_Daiv9p8,-EA_Daiv9p8,정샘물,1,0,2026-01-11 11:44:25+00
title,eDMDYxUN6RI,eDMDYxUN6RI,레이어랩,2,0,2025-12-16 11:01:21+00
title,eEqtstXZmZ0,eEqtstXZmZ0,레스노베,1,1,2026-01-10 11:30:40+00
title,eGrob7Whn1s,eGrob7Whn1s,올리브영,1,1,2026-07-29 09:30:21+00
title,EKFfLpJKO6g,EKFfLpJKO6g,에스티로더,1,1,2026-05-15 12:00:32+00
title,EkR8y8-W9ro,EkR8y8-W9ro,올리브영,1,1,2026-05-10 12:24:12+00
title,EKtlA2OQbfw,EKtlA2OQbfw,OOTD,1,0,2025-03-16 10:28:19+00
title,El0cZMgyUzQ,El0cZMgyUzQ,OOTD,1,0,2025-06-13 09:00:20+00
title,elhm689Zya0,elhm689Zya0,올리브영,1,0,2026-05-19 08:00:17+00
title,EM8B4srFz6s,EM8B4srFz6s,올리브영,1,0,2025-09-29 06:15:45+00
title,Emu6XLHGHxE,Emu6XLHGHxE,주닥,1,0,2025-12-21 14:43:28+00
title,ENY46394xMY,ENY46394xMY,올리브영,1,1,2026-04-12 12:21:00+00
title,eodQ-U6FSMg,eodQ-U6FSMg,투크,1,1,2025-12-18 12:41:25+00
title,ERh36IJ0PzI,ERh36IJ0PzI,레이어랩,1,0,2026-03-24 11:00:35+00
title,etyCU6R0iPc,etyCU6R0iPc,올리브영,1,1,2025-07-20 11:29:01+00
title,evmAzD6kNcs,evmAzD6kNcs,올리브영,1,1,2026-05-06 12:01:14+00
title,ExfiN1ULwfM,ExfiN1ULwfM,퓌,1,1,2026-05-22 11:07:38+00
title,ExfiN1ULwfM,ExfiN1ULwfM,네이밍,1,1,2026-05-22 11:07:38+00
title,ExfiN1ULwfM,ExfiN1ULwfM,라네즈,1,1,2026-05-22 11:07:38+00
title,ExfiN1ULwfM,ExfiN1ULwfM,연작,1,0,2026-05-22 11:07:38+00
