product_key,name,board,t_change,price_before,price_after,pct,direction,gap_h,rank_pre6,rank_post6,rank_post12,rank_post24,d6,d12,d24,n_pre,n_post24
A000000226676,[NEW] 어노브 트래블 키트 2종 택1,hair,2026-08-21T10:00:00,24000,20800,-13.3,drop,6,95.2,10.8,49.8,74.0,-84.3,-45.4,-21.2,6,24
A000000226676,[NEW] 어노브 트래블 키트 2종 택1,sale,2026-08-21T10:00:00,24000,20800,-13.3,drop,6,101,101,101,101,0,0,0,6,24
A000000227366,다슈 맨즈 에어핏 니플 밴드 더블기획 (52매+52매),mens,2026-08-21T16:00:00,15900,17800,11.9,rise,1,68.2,83.3,82.4,87.8,15.2,14.2,19.7,6,24
A000000227367,[초슬림 실리콘] 다슈 맨즈 에어핏 니플 밴드 52매(단품/더블기획),mens,2026-08-21T16:00:00,8900,9900,11.2,rise,1,35.3,48.2,55.2,53.2,12.8,19.8,17.9,6,24
A000000229648,필리밀리 코렉터 브러시 3종 택1,tools,2026-08-22T15:00:00,6500,5500,-15.4,drop,1,51.3,62.3,71.8,79.8,11.0,20.4,28.4,6,17
A000000230537,[미피 랜덤파우치 증정] 오브제 포어 제로 프레쉬 올인원 150ml 단품/기획,mens,2026-08-21T16:00:00,19800,20900,5.6,rise,1,31.7,43,57.6,63.8,11.3,25.9,32.2,6,24
A000000231310,[1+1] 프리메라 마일드 앤 퍼펙트 페이셜 필링 100ml 리필기획,cleansing,2026-08-22T01:00:00,15000,20000,33.3,rise,1,48.8,35.8,35.3,45.1,-13.0,-13.5,-3.7,6,24
A000000231310,[1+1] 프리메라 마일드 앤 퍼펙트 페이셜 필링 100ml 리필기획,sale,2026-08-22T01:00:00,15000,20000,33.3,rise,1,101,101,101,101,0,0,0,6,24
A000000231707,필리밀리 밀착플랫파운데이션브러시 826,tools,2026-08-22T15:00:00,18900,16900,-10.6,drop,1,98.7,61,58.9,54.3,-37.7,-39.8,-44.4,6,17
A000000231822,[8월올영픽/24시간파우더] 넘버즈인 1번 판토텐산 스킨케어100 블러파우더 기획 (+퍼프 1개),skincare,2026-08-21T16:00:00,13500,12900,-4.4,drop,1,35.8,13.5,10.2,7.3,-22.3,-25.6,-28.5,6,24
A000000231822,[8월올영픽/24시간파우더] 넘버즈인 1번 판토텐산 스킨케어100 블러파우더 기획 (+퍼프 1개),sale,2026-08-21T16:00:00,13500,12900,-4.4,drop,1,100,41.7,31,20.8,-58.3,-69,-79.2,6,24
A000000231822,[8월올영픽/24시간파우더] 넘버즈인 1번 판토텐산 스킨케어100 블러파우더 기획 (+퍼프 1개),skincare,2026-08-22T16:00:00,12900,13500,4.7,rise,1,1,2.2,19.4,20.8,1.2,18.4,19.8,6,16
A000000231822,[8월올영픽/24시간파우더] 넘버즈인 1번 판토텐산 스킨케어100 블러파우더 기획 (+퍼프 1개),sale,2026-08-22T16:00:00,12900,13500,4.7,rise,1,2.8,8.2,49.8,59.3,5.3,47.0,56.5,6,16
A000000232053,[리뷰이벤트/파데프리/톤업선크림]체이싱래빗 올어바웃글로우 커버크림 35g기획(단품/ 대왕퍼프),suncare,2026-08-22T15:00:00,13600,16000,17.6,rise,1,16.8,22.5,26.4,32.2,5.7,9.6,15.4,6,17
A000000232301,[올영단독/샤벳밤 대용량]바를 차콜 멜팅 클렌징밤 100g(+3g*6),cleansing,2026-08-20T15:00:00,25000,23000,-8.0,drop,1,73.7,42.4,23.9,12.8,-31.3,-49.8,-60.9,3,22
A000000232301,[올영단독/샤벳밤 대용량]바를 차콜 멜팅 클렌징밤 100g(+3g*6),sale,2026-08-20T15:00:00,25000,23000,-8.0,drop,1,101,101,81.2,56.5,0,-19.8,-44.5,3,22
A000000232301,[올영단독/샤벳밤 대용량]바를 차콜 멜팅 클렌징밤 100g(+3g*6),cleansing,2026-08-21T16:00:00,23000,28000,21.7,rise,1,5.8,7.5,19.3,41.7,1.7,13.5,35.8,6,24
A000000232301,[올영단독/샤벳밤 대용량]바를 차콜 멜팅 클렌징밤 100g(+3g*6),sale,2026-08-21T16:00:00,23000,28000,21.7,rise,1,60.5,74.3,87.7,94.3,13.8,27.2,33.8,6,24
A000000232694,[8월올영픽/철벽고정] 네이밍 퍼펙테일 아이 디자이닝 펜슬 슬림 라이너 단품/기획,makeup,2026-08-20T15:00:00,9900,10900,10.1,rise,1,46,57,79,86.3,11,33,40.3,3,22
A000000233115,[NEW] 리스키 비 볼드 립 글로스 19Colors,sale,2026-08-20T16:00:00,20900,19800,-5.3,drop,25,101,101,101,101,0,0,0,4,22
A000000233115,[NEW] 리스키 비 볼드 립 글로스 19Colors,makeup,2026-08-20T16:00:00,20900,19800,-5.3,drop,25,101,62.8,72.9,76.8,-38.2,-28.1,-24.2,4,22
A000000236454,플르부아 린넨스프레이(섬유탈취제) 170mL 4종 중 택1,fragrance,2026-08-20T12:00:00,18000,13500,-25.0,drop,4,65.5,31.2,56.9,37.7,-34.3,-8.6,-27.8,2,21
A000000236454,플르부아 린넨스프레이(섬유탈취제) 170mL 4종 중 택1,fragrance,2026-08-20T16:00:00,13500,18000,33.3,rise,1,19.3,61.8,62.6,36.6,42.5,43.3,17.3,3,22
A000000236454,플르부아 린넨스프레이(섬유탈취제) 170mL 4종 중 택1,fragrance,2026-08-21T00:00:00,18000,13500,-25.0,drop,5,82.6,28.2,20.3,27.1,-54.4,-62.3,-55.5,5,23
A000000236454,플르부아 린넨스프레이(섬유탈취제) 170mL 4종 중 택1,fragrance,2026-08-21T10:00:00,13500,18000,33.3,rise,1,12.2,17.7,23.4,33.3,5.5,11.3,21.2,6,24
A000000236454,플르부아 린넨스프레이(섬유탈취제) 170mL 4종 중 택1,fragrance,2026-08-22T13:00:00,18000,13500,-25.0,drop,2,67,69.2,67.6,57.8,2.2,0.6,-9.2,6,19
A000000236890,질레트 랩스 딥클렌징바 면도기 (핸들+1입날+거치대),mens,2026-08-20T15:00:00,12900,9900,-23.3,drop,1,26,24,19.9,17.6,-2,-6.1,-8.4,3,22
A000000236890,질레트 랩스 딥클렌징바 면도기 (핸들+1입날+거치대),body,2026-08-20T15:00:00,12900,9900,-23.3,drop,1,40,35.6,28.9,21.6,-4.4,-11.1,-18.4,2,22
A000000236890,질레트 랩스 딥클렌징바 면도기 (핸들+1입날+거치대),mens,2026-08-21T16:00:00,9900,23300,135.4,rise,1,14.7,11.7,49,73.1,-3.0,34.3,58.4,6,24
A000000236890,질레트 랩스 딥클렌징바 면도기 (핸들+1입날+거치대),body,2026-08-21T16:00:00,9900,23300,135.4,rise,1,14.5,9.3,49.3,75.2,-5.2,34.8,60.7,6,24
A000000240816,[브러시필수템]필리밀리 브러시&퍼프클렌징솝(+클렌징패드),tools,2026-08-22T15:00:00,6800,6600,-2.9,drop,1,43.3,35.2,50.3,59.4,-8.2,7.0,16.0,6,17
A000000241103,필리밀리 빅사이즈 퍼프 4종(정교한 통통/파우더/하이드로/피팅),tools,2026-08-20T15:00:00,3800,4900,28.9,rise,1,79,80.8,85.7,92.1,1.8,6.7,13.1,3,22
A000000241208,크리스마 더마랩 페이스타올 80매 3개입,tools,2026-08-20T15:00:00,14700,15900,8.2,rise,1,67.3,42.8,71.9,87.8,-24.5,4.6,20.4,3,22
A000000241365,[1+1/1위 립밤] 비레디 임수빈 PICK 생기 립밤 더블 기획 3g+3g,mens,2026-08-21T16:00:00,18900,19100,1.1,rise,1,60.5,90,81.3,58.8,29.5,20.8,-1.7,6,24
A000000243162,[수지pick/올영단독] 아누아 패드 리필 기획 3종(어성초/피디알엔/카테킨),masks,2026-08-22T16:00:00,29500,27900,-5.4,drop,1,42.2,31.8,33.9,32.9,-10.3,-8.2,-9.2,6,16
A000000245960,[1등 진정] 센텔리안24 마데카 크림 타임 리버스 50ml 기획 (+15ml*2+더마 마스크팩 3매),skincare,2026-08-21T17:00:00,20900,17900,-14.4,drop,14,101,61.5,64.8,44,-39.5,-36.2,-57,6,24
A000000245960,[1등 진정] 센텔리안24 마데카 크림 타임 리버스 50ml 기획 (+15ml*2+더마 마스크팩 3매),dermo,2026-08-21T17:00:00,20900,17900,-14.4,drop,14,101,23,22.4,14.7,-78,-78.6,-86.3,6,24
A000000245960,[1등 진정] 센텔리안24 마데카 크림 타임 리버스 50ml 기획 (+15ml*2+더마 마스크팩 3매),sale,2026-08-21T17:00:00,20900,17900,-14.4,drop,14,101,96.8,98.2,66.1,-4.2,-2.8,-34.9,6,24
A000000245960,[1등 진정] 센텔리안24 마데카 크림 타임 리버스 50ml 기획 (+15ml*2+더마 마스크팩 3매),skincare,2026-08-22T16:00:00,17900,20900,16.8,rise,1,5.7,17,54.1,65.8,11.3,48.4,60.1,6,16
A000000245960,[1등 진정] 센텔리안24 마데카 크림 타임 리버스 50ml 기획 (+15ml*2+더마 마스크팩 3매),dermo,2026-08-22T16:00:00,17900,20900,16.8,rise,1,1.5,4.7,24.2,41.1,3.2,22.7,39.6,6,16
A000000245960,[1등 진정] 센텔리안24 마데카 크림 타임 리버스 50ml 기획 (+15ml*2+더마 마스크팩 3매),sale,2026-08-22T16:00:00,17900,20900,16.8,rise,1,12.3,48.3,74.7,81.2,36.0,62.3,68.9,6,16
A000000246600,[1등 보송젤파우더] 오브제 오일 컨트롤 피니셔 5g 단품,sale,2026-08-20T15:00:00,15500,15300,-1.3,drop,1,101,101,101,93.9,0,0,-7.1,3,22
A000000246600,[1등 보송젤파우더] 오브제 오일 컨트롤 피니셔 5g 단품,mens,2026-08-20T15:00:00,15500,15300,-1.3,drop,1,7.3,7.8,10.1,10.3,0.5,2.8,2.9,3,22
