kind,key,mentions,likes,like_per_mention,months_present,first,last,videos,channels,max_like,shape,example,example2,example2_like
format×attr,이너뷰티 × 기능(지속/커버/보습/미백 등),1,1,1.0,0,2025-08,2025-08,1,1,1,thin,베리홉 순수비타민C 라인도 미백 효과 좋은데 나중에 가능하시면 후기 부탁드립니다~!,베리홉 순수비타민C 라인도 미백 효과 좋은데 나중에 가능하시면 후기 부탁드립니다~!,1
format×attr,선크림 × 지성/건성,1,1,1.0,0,2025-08,2025-08,1,1,1,thin,수부지 썬크림 세정잘되는 제품없나요!???,수부지 썬크림 세정잘되는 제품없나요!???,1
format×attr,쿠션 × 세트/단품 구성,1,1,1.0,1,2026-06,2026-06,1,1,1,thin,오에라쿠션 단품 없나보당?,오에라쿠션 단품 없나보당?,1
format×attr,미스트 × 소용량/미니/휴대,1,1,1.0,1,2026-08,2026-08,1,1,1,thin,요즘 쓰다보니 드는 생각인데 미스트 휴대용 사이즈 한 30ml 짜리도 나오면 파우치 넣고 다니면서 밖에서 쓰기도 좋을 것 같아요~!!,요즘 쓰다보니 드는 생각인데 미스트 휴대용 사이즈 한 30ml 짜리도 나오면 파우치 넣고 다니면서 밖에서 쓰기도 좋을 것 같아요~!!,1
format×attr,립틴트/립스틱 × 소용량/미니/휴대,1,1,1.0,1,2026-05,2026-05,1,1,1,thin,립스틱 이 느낌으로 나오면 좋겠다했는데 포켓몬…??,립스틱 이 느낌으로 나오면 좋겠다했는데 포켓몬…??,1
format×attr,쿠션 × 향,1,1,1.0,1,2026-08,2026-08,1,1,1,thin,"21호와 23호 사이의 22호, 그 중에서도 [22M] 호수를 내주시면 좋겠어요 💞💞💚💚💚 M = Muted로 밝기는 22호인데 채도가 낮은 베이지로 만들어주세요 >_< 보통 쿠션들 보면 핑크/옐로우 베이스, 혹은 웜/쿨로 색의 방향을 많이 나누시는데 실제로 저나 제 주변을 보면 색이 ","21호와 23호 사이의 22호, 그 중에서도 [22M] 호수를 내주시면 좋겠어요 💞💞💚💚💚 M = Muted로 밝기는 22호인데 채도가 낮은 베이지로 만들어주세요 >_< 보통 쿠션들 보면 핑크/옐로우 베이스, 혹은 웜/쿨로 색의 방향을 많이 나누시는데 실제로 저나 제 주변을 보면 색이 ",1
format×attr,크림 × 세트/단품 구성,1,1,1.0,1,2025-11,2025-11,1,1,1,thin,콜세지크림1 + 판테놀크림1  구성도 만들어주시면 좋겠어용 🩷🩷,콜세지크림1 + 판테놀크림1  구성도 만들어주시면 좋겠어용 🩷🩷,1
format×attr,토너/스킨 × 기능(지속/커버/보습/미백 등),1,1,1.0,0,2025-08,2025-08,1,1,1,thin,여드름용 토너나 앰플도 만들어주세요~,여드름용 토너나 앰플도 만들어주세요~,1
format×attr,필링/스크럽,1,0,0.0,1,2026-02,2026-02,1,1,0,thin,근데 건조 각질이 많아서  그거  보안해서 나오면 좋겠네요,근데 건조 각질이 많아서  그거  보안해서 나오면 좋겠네요,0
format×attr,로션/에멀전 × 계절/기후,1,0,0.0,1,2026-08,2026-08,1,1,0,thin,워낙에 다르긴 하지만 모낭염은 습한 환경을 만들어주지 않는 게 되게 중요하다고 의사 쌤이 모낭염 심할 때 연고랑 로션 하나 정도만 바르라고 했었어요,워낙에 다르긴 하지만 모낭염은 습한 환경을 만들어주지 않는 게 되게 중요하다고 의사 쌤이 모낭염 심할 때 연고랑 로션 하나 정도만 바르라고 했었어요,0
format×attr,토너/스킨 × 색상/호수 확장,1,0,0.0,1,2026-03,2026-03,1,1,0,thin,셀퓨전씨 스킨 블레미쉬 밤 인텐시브도 옛날부터 유명했는데 컬러도 다양해지고 패키지도 깔끔해져서 기대돼요,셀퓨전씨 스킨 블레미쉬 밤 인텐시브도 옛날부터 유명했는데 컬러도 다양해지고 패키지도 깔끔해져서 기대돼요,0
format×attr,세트/기획 × 가격/가성비,1,0,0.0,1,2025-09,2025-09,1,1,0,thin,미니 제품이나 미니하지 않은 가격… 본품 출시되면 바로 구매할거에요,미니 제품이나 미니하지 않은 가격… 본품 출시되면 바로 구매할거에요,0
format×attr,클렌징 × 기능(지속/커버/보습/미백 등),1,0,0.0,1,2026-03,2026-03,1,1,0,thin,"저는 클렌징만 하고 피지나 블랙헤드 관리는 귀찮아서..ㅎ 따로 해주지 않았는데 클렌징 하나만으로 피지, 블랙헤드를 관리할 수 있다니 너무 궁금하네요","저는 클렌징만 하고 피지나 블랙헤드 관리는 귀찮아서..ㅎ 따로 해주지 않았는데 클렌징 하나만으로 피지, 블랙헤드를 관리할 수 있다니 너무 궁금하네요",0
format×attr,바디 × 소용량/미니/휴대,1,0,0.0,1,2026-07,2026-07,1,1,0,thin,"벌써 구매 완,, (46cm 바디워시 다이소에서 작은용량 팔아요!","벌써 구매 완,, (46cm 바디워시 다이소에서 작은용량 팔아요!",0
format×attr,세트/기획 × 리필,1,0,0.0,1,2026-07,2026-07,1,1,0,thin,나중에 리필기획 잘 나왔으면 좋겠슴다 ❤,나중에 리필기획 잘 나왔으면 좋겠슴다 ❤,0
format×attr,아이라이너/마스카라/브로우 × 단종/재출시,1,0,0.0,1,2026-02,2026-02,1,1,0,thin,언니 다이소 노글루 속눈썹 재출시됐다는데 리뷰해주세요!,언니 다이소 노글루 속눈썹 재출시됐다는데 리뷰해주세요!,0
format×attr,향수,1,0,0.0,1,2026-06,2026-06,1,1,0,thin,많이 압축풀기가 알려져서 여러향수 브랜드들이 나왔으면 좋겠어요,많이 압축풀기가 알려져서 여러향수 브랜드들이 나왔으면 좋겠어요,0
format×attr,마스크팩 × 기능(지속/커버/보습/미백 등),1,0,0.0,1,2026-06,2026-06,1,1,0,thin,바디트러블 케어 명가 낫포유에서 바디 팩 스크럽이 출시됐다니 너무 기대돼요!!😮 묽고 부드러운 타입의 솔트 스크럽이라니 데일리로 사용하기 너무 좋을것같아요!,바디트러블 케어 명가 낫포유에서 바디 팩 스크럽이 출시됐다니 너무 기대돼요!!😮 묽고 부드러운 타입의 솔트 스크럽이라니 데일리로 사용하기 너무 좋을것같아요!,0
