comment_id,video_id,published_at,like_count,class,brand,format,attribute,text
UgwNmfg0cbTSSEnR3dh4AaABAg,q2J2JBbKz4o,2026-05-22,4,b,,,,좋은 말씀 부탁드림니다 .
UgwwvmDuRL8qloUzeLx4AaABAg,q2J2JBbKz4o,2026-02-22,1,b,,,,앞으로도 좋은방송 부탁드립니다
UgzV2f6EfGMwn4h-Ok14AaABAg,q2J2JBbKz4o,2026-02-22,5,b,,,,몇개 봤는데 ㅎㅎㅎㅎ자주 올려주세요!!
UgwJhCDR49mBJF1RZx14AaABAg,q2J2JBbKz4o,2026-07-22,0,b,,,,"참으로 좋은 정보에 다시 감사드리며,  다른이들에게도 ""좋아요"" 많이 부탁드려요."
UgyB8owWHuH_CIsrLVx4AaABAg,YxmYgi5mgmA,2026-07-25,1,b,,,,더 해주세요!
Ugzi64RmH_--gglvnnV4AaABAg,YxmYgi5mgmA,2026-07-25,3,b,,,,언니ㅣㅣㅣㅣㅣㅣ이컨텐츠너무좋아계속해줘아자스❤❤❤
UgxuEGvGxnXMIurRQip4AaABAg,YxmYgi5mgmA,2026-07-25,0,b,,,,메이크업도 너무 잘 어울리는데요?!!😚 다음에는 반대로 솔빵언니가 몽몽언니 화장품으로 화장하는 영상 원해여ㅎㅎ🥰
UgyGFgFSFMZUNQHeQpR4AaABAg,YxmYgi5mgmA,2026-08-01,0,b,,,,찾아봐도 없는데 제일 재밌는데 이런 메이크업 튜토리얼 같은 영상 많이 올려주세요 ㅠㅠ
UgyfRCCgd253cRmcY6l4AaABAg,YxmYgi5mgmA,2026-08-01,0,b,,,,이렇게 다른 사람 화장품으로 GRWM 영상 더 올려주세용 너무 재밌어여ㅠㅠㅠㅠ
Ugwx5q_70u0JDFL5FRt4AaABAg,gNAaHKNGHzc,2021-08-22,19,b,,,,언니!!혹시 언니 제페토 해여?옐나물 이라고 닉이있는 사람이 있는데..진짜 언닌지 알려주세요!!
UgxEpro25btM1KDJAH94AaABAg,oDUze8l2hmM,2025-11-22,201,b,,,,브랜드보단 성분보고 구매하자.
UgxrOV8LklHr-mq9COl4AaABAg,oDUze8l2hmM,2025-11-22,21,b,,,,올려주시죠!
UgwRCxnfM_wDqjfNw514AaABAg,oDUze8l2hmM,2025-11-22,2,b,,클렌징,,스완님 요즘 인스타에서 뜨는 애사비 클렌저인가 많이 뜨던데 리뷰 해주실 수 있나용 ??
UgzobdBCm3WUebq8zEx4AaABAg,oDUze8l2hmM,2025-11-22,2,b,,면도/제모,,형 ~~~면도기 추천도 부탁해
UgyuwGlobvdATeJolgl4AaABAg,oDUze8l2hmM,2025-11-22,0,b,,,지성/건성,스완님 악건성 스킨케어 루틴도 영상 올려주세요 ㅜㅜㅜ
Ugz6yLS2SBDfhRMTAP94AaABAg,oDUze8l2hmM,2025-11-22,0,b,,핸드크림,,날씨 추워지는데 남자 핸드크림 좀 추천해주세요 😊
Ugy5I5MI1ilM2xqEEIx4AaABAg,oDUze8l2hmM,2025-11-22,1,b,코페르,,,코페르 화장품 리뷰해줘요
UgwJ6QHzxTHRRk6fYAx4AaABAg,oDUze8l2hmM,2025-11-22,0,b,,뷰티디바이스,,형 영상이랑은 관계없은 말이긴한데 디바이스도 다뤄주시면 안되나요 ㅠㅠ
UgzqpXpFMdv95MUN0eB4AaABAg,oDUze8l2hmM,2025-11-22,0,b,,,,용도랑 가장 자연스럽게 데일리하게 쓸 수 있는 게 뭔지 알려주세요 ㅜ
UgzCnU2lFk7U9Ng3_Ex4AaABAg,oDUze8l2hmM,2025-11-22,0,b,토리든,,,형 올해는 토리든 솔리드인 마켓은 언제??
Ugz93KC7v1I2HupIH9F4AaABAg,oDUze8l2hmM,2025-11-22,0,b,,,,혹시 방법없을까요?😢
Ugwb5psGAICev5uEpJR4AaABAg,uEsdRrdDd8M,2023-08-22,3,b,,,,이 콘텐츠 진짜 보고싶엇는데😊😊😊
UgwPauVC_FTnGQPrPXl4AaABAg,uEsdRrdDd8M,2023-08-22,2,b,,,,"언니가 넷플 시리즈 찍어주시면 하루종일 볼 수 있을텐데,.,,,,😢😢😢😢😢❤❤"
UgxOvjrhEJLejz9F9CR4AaABAg,uEsdRrdDd8M,2023-08-22,1,b,,,,자주 따라 화장하고 자주 따라 먹고 자주 손민수해주세요...
UgwgBizFAaSkVD0JytN4AaABAg,uEsdRrdDd8M,2023-08-22,0,b,,,,언니짱..평생 틱톡리뷰해주라… 🥹🥹🥹
UgyPy9JKqRGvd_bEoA94AaABAg,uEsdRrdDd8M,2023-08-22,2,a,,,국내출시/입점/유통,와 국내에도 립카드 머시기 하면서 희안하게 나오던데 외국에 먼저 있던 제품이군요
UgxkeQ08i7acJz65gN14AaABAg,uEsdRrdDd8M,2023-08-22,15,b,,,,많이 해주세여♡♡
Ugxi0jgy0HwE4BMY4yR4AaABAg,uEsdRrdDd8M,2023-08-22,1,b,,립틴트/립스틱,색상/호수 확장,카일리 코스메틱 누드 립스틱들도 리뷰 해주세요~!~!~
Ugz4bf1TBT1VXPrdn8J4AaABAg,uEsdRrdDd8M,2023-08-22,2,a,,립틴트/립스틱,제형(스틱/쿠션/젤/밤/스프레이);국내출시/입점/유통,국내에도 레이지 립스틱이랑 비슷한 모델 팔아요!
Ugw56guTj1l6Rt03XMZ4AaABAg,uEsdRrdDd8M,2023-08-22,0,b,,,,"갹 언니 담편 레어뷰티 리퀴드블러시 리뷰해주세욥 외국틱톡보니 막 섞어바르고 엄지손바닥에 덜어서 바르고 하던데 이거 마데인코리아래도 한국에 안들어오니 원,,, 매트랑 듀이랑 질감 차이도 궁금궁금"
UgzbLe82rEkH86MCq5B4AaABAg,uEsdRrdDd8M,2023-08-22,0,b,,,,웅니 렌즈 정보도 부탁드려용🥺🫶🏻
UgzGSOXGhVYMjByA5GZ4AaABAg,uEsdRrdDd8M,2023-08-22,1,b,,네일,,언니 네일 정보 알려주실수있나여 ㅠㅠ❤
Ugx5qp9ocUL-J_JGu_54AaABAg,uEsdRrdDd8M,2023-08-22,16,b,,,,"세포라 자체 브랜드 제품들도 리뷰해 주실 수 있나요,,?"
UgxGQKrHfBQ4DLgIfIx4AaABAg,uEsdRrdDd8M,2023-08-22,0,b,,,,유리아님 영상 마지막에 끼신 렌즈 뭔지 알려주실수 있나요!????
Ugy8MQe1vsjMKAF8SA94AaABAg,uEsdRrdDd8M,2023-08-22,0,b,,,,언니 영상이랑 관계 없는데… 대학생 첫 명품가방으로 뭐가 좋은지 추천 해주실 수 있나요..?
Ugw2rTd76XhHWmHvqT14AaABAg,C70rPOxVkj0,2026-07-22,2,b,,,,"혹시 MOQ 1,000개부터 생산 가능한 Made in Korea 화장품 제조사를 알고 계시면 추천 부탁드립니다."
Ugw2rTd76XhHWmHvqT14AaABAg.AZ-BDnwfCHCAZH_Hky1HOG,C70rPOxVkj0,2026-07-22,0,b,,,,혹시 MOQ를 같이 채워서 반반 공동구매하실 생각이 있으시다면 답글 부탁드립니다!!
UgzDoISWNJd1gy-uBwl4AaABAg,A4e2wcTdCes,2026-05-22,0,b,,,,저도 곧 중국 여행 가는데 어느 왕홍샵 간건지 정보 공유해주실 수 있나요!!
UgzOLYENqFVaqJWrKxJ4AaABAg,A4e2wcTdCes,2026-05-22,0,b,,,,언니 핸드폰 그립톡 정보 좀 알려주세요 ㅠㅠ
Ugw1sx1shZGXvR38Oul4AaABAg,A4e2wcTdCes,2026-05-22,4,b,,,,틱톡시리즈 나중에 또 찍어줘요ㅠㅠㅠㅠㅠㅠ
UgxQt3efXhgj8Crwbw14AaABAg,sn4GpH3KEto,2024-08-22,22,b,,,,악플에 상처받지 말고 영상에서 처럼 항상 웃고 행복하길 바래요 😊 리흔이가 너무 이뻐 질투하는 사람들이 너무 많이보여서 언니가 다
UgwWJ4HmbDR79K0z50N4AaABAg,sn4GpH3KEto,2025-08-22,1,b,,,,앞으로도 이런영상 많이 올려주세요!!
UgzEVQdVaWYb2Wl0_yJ4AaABAg,sn4GpH3KEto,2024-08-22,1,b,,,,10살때까지 보고 왔는데 너무 많이 크셔서 깜짝 놀랐어욥:> 앞으로도 더 성장하길 바래요!!!!!
Ugx2Q7KiSvimLp6ze3p4AaABAg,sn4GpH3KEto,2025-08-22,0,b,올리브영,,,올리브영 영상 많이 올려주세요💛
UgyaMaaqYeiBJFPSFM14AaABAg,sn4GpH3KEto,2024-08-22,1,b,올리브영,,,올리브영 자주 가시네용☺️ 언제 한 번 올리브영 간식 리뷰도 해주세요ㅎㅎ😘
UgzzRe7_Jg8xT80QBph4AaABAg,sn4GpH3KEto,2024-08-22,2,b,,쿠션;프라이머/베이스;립틴트/립스틱,,화장 처음하실땐 쿠션베이스까는 느낌만 해주고 틴트만 발라주세요!!
